no,light_num,crossway_num,center,lanes,max_spd,road_length,road_bt,school_num,stations,police_num,label
680,14,3,0,2.2,46,224.1728815,10.2857142,1,0,0,285
681,32,6,0,2.88888889,50,358.549867,25.3333333,2,0,0,606
682,12,2,0,1.8,60,220.9674231,13.8,1,0,0,208
683,14,4,0,1.66666667,40,252.9820117,8,1,0,0,20
684,21,7,1,2.33333333,51.66666667,96.36317071,27.8,0,1,1,604
685,12,3,1,3.5,66.66666667,333.6203255,35,0,0,0,148
686,0,2,2,2.75,57.5,186.3995315,35,0,0,0,29
687,24,6,0,2.54545455,49.09090909,97.20842341,31.25,0,1,1,584
688,16,6,0,3.75,60,134.5357271,37.5,0,0,1,629
689,21,7,3,3.125,60,561.5148467,27,0,0,0,317
690,22,7,0,3,60,343.0489925,23.6,0,0,0,691
691,16,3,0,3.5,66.66666667,350.1164568,35,0,1,0,113
692,12,6,0,2.5,35,208.4907296,19.3333333,3,0,0,604
693,28,3,0,3.875,60,159.539634,37.5,0,0,0,474
694,23,6,0,2.25,40,305.4950762,14.75,1,0,0,233
695,16,4,0,2.5,55,453.3369263,18,0,0,0,386
696,17,6,0,2,60,201.9041012,20,2,0,0,183
697,10,2,0,4,66.66666667,234.7632956,26.6666666,0,1,0,252
698,21,4,0,3,55,261.8962658,29,0,0,1,514
699,13,4,0,3.125,60,342.7763579,35,0,0,0,408
700,8,2,0,1.66666667,40,272.8152169,10.2,3,0,1,36
701,31,4,0,3.125,55,211.3862488,19.6666666,1,1,0,160
702,0,3,0,1,50,341.7429185,6.125,1,0,0,148
703,14,4,0,3.5,60,350.1160419,36.2,0,0,0,675
704,30,5,0,2.875,60,97.45964323,32.5,0,1,0,263
705,0,0,0,2.33333333,60,286.5751997,20,0,0,0,19
706,20,5,0,2.16666667,30,376.4893143,12.75,0,1,0,175
707,10,6,1,3.16666667,68.33333333,417.6348753,13.2,0,1,0,140
708,18,4,0,2.25,52.5,238.0875536,22.5,2,0,0,301
709,29,4,0,2.4,54,289.5062252,25.3333333,2,0,0,325
710,19,7,0,2.6,57,338.1961802,15.6,0,0,0,201
711,22,10,2,4,66,277.1418451,48.6666666,0,0,0,522
712,22,10,2,4,66,277.1418451,48.6666666,0,0,0,521
713,27,6,2,4.375,60,158.3737006,45,0,0,1,852
714,9,7,0,2.5,50,257.0614696,18.6,0,0,0,256
715,6,2,0,3,50,221.6824801,27.8,2,0,0,133
716,15,6,0,2,38.18181818,242.6464201,21.5,0,0,0,146
717,23,6,0,3.875,60,106.1671963,33.5,0,0,1,705
718,15,5,0,2,40,474.3768092,8.85714286,2,0,1,231
719,7,0,1,2.6,64,401.1701257,28.6666666,0,0,0,2
720,35,4,0,2.75,60,381.1760502,30,0,1,1,269
721,9,5,0,2.625,60,280.5922518,25,0,1,0,188
722,9,3,1,2.5,47.5,371.4014124,21,0,1,0,263
723,12,5,0,2.5,60,263.3079951,19,0,0,0,245
724,20,4,0,3.375,47.5,347.2603828,30,0,0,0,493
725,12,4,0,1.5,40,359.3404593,8.83333333,0,0,1,94
726,7,2,0,2.33333333,60,254.031339,17.5,1,0,0,223
727,19,5,0,2.25,52.5,325.4662046,18.75,1,0,0,370
728,15,4,0,2.33333333,50,439.4459096,16,0,0,0,153
729,12,2,0,2,60,452.4523173,21.5,0,0,0,139
730,12,1,2,2.22222222,45.55555556,207.4835868,29,0,1,0,279
731,12,6,0,2.25,42.5,303.840577,12.75,2,0,0,150
732,12,4,0,1.75,45,304.1170535,14.5,0,0,1,154
733,18,4,0,4,60,261.517288,40,2,0,0,590
734,14,5,0,4.375,60,232.4439886,30.25,0,0,0,554
735,23,4,0,2.75,60,154.8679247,19.6666666,2,0,0,252
736,12,6,0,2.375,40,340.2716486,14,0,0,1,171
737,7,2,0,2.33333333,60,322.3323758,20,1,0,0,194
738,9,2,1,2,55,487.2901129,12,1,1,0,122
739,10,4,0,1.66666667,50,334.5405943,12.5,1,0,0,224
740,13,5,0,2.125,60,220.7519381,12.1428571,0,0,0,171
741,11,2,0,2.33333333,53.33333333,377.557345,27.5,0,1,0,32
742,29,6,2,3.5,60,142.619828,37.5,0,1,0,617
743,20,7,0,2.7,54,330.670464,21,0,1,1,389
744,12,4,0,1,37.5,511.0654181,4.88888889,1,0,0,403
745,20,8,0,3.30769231,50.76923077,62.95078221,40,0,0,0,370
746,12,4,0,1.5,52.5,243.5029786,7.6,1,0,0,231
747,16,5,0,1.8,46,217.8377994,10,0,0,1,156
748,15,4,0,2.875,60,179.6486999,37.5,0,1,0,361
749,12,6,0,2.52173913,57.39130435,113.8294197,24.75,0,0,1,528
750,18,7,0,2.25,50,318.7100066,15,1,1,0,304
751,5,2,0,2.25,67.5,490.5552227,40,0,0,0,275
752,13,4,0,2.375,52.5,158.4536814,22.5,1,0,0,235
753,0,3,0,2.52173913,57.39130435,113.8294197,13,0,0,1,96
754,17,5,0,2.5,57.5,468.2194279,22,1,0,1,516
755,18,6,0,2.125,42.5,283.5925375,9.33333333,2,0,1,441
756,14,4,0,3.5,57.5,315.2495377,32.5,0,1,0,313
757,12,8,0,1.83333333,53.33333333,496.6198966,8.83333333,1,0,1,97
758,15,4,0,3.25,60,320.5960752,35,1,1,0,318
759,16,4,0,3,45,516.213469,30,1,0,1,389
760,13,3,0,1.5,52.5,388.4905874,5.375,0,0,0,231
761,16,6,1,1.75,45,547.0465767,11.1666666,0,0,0,279
762,11,3,0,3.25,60,285.8529643,29.5,1,0,1,589
763,7,3,1,3.75,52.5,157.3496249,60,0,0,0,253
764,26,4,0,2.25,60,303.0895604,13.3333333,4,0,0,144
765,17,6,2,3.83333333,50,181.7199587,23.6,0,1,1,311
766,17,8,0,1.625,37.5,275.4161722,12.5,1,0,1,138
767,0,0,1,2.375,53.75,385.6913501,42.6666666,0,0,0,2
768,15,4,0,3.625,60,435.3719045,32.5,3,1,0,369
769,14,3,0,3,60,356.6671734,24.5,2,0,0,355
770,16,4,0,2.125,35,332.3446711,12.5,0,1,0,164
771,12,6,0,2,52.5,518.5608898,18.6666666,1,1,0,365
772,39,4,2,4,60,194.0126025,42.5,0,0,0,412
773,6,1,0,2.75,60,191.089507,20.6666666,1,0,0,250
774,17,4,2,4.75,52.5,432.3508026,55,0,0,1,479
775,12,4,0,2.5,52.5,333.4662272,28,1,0,0,370
776,9,3,0,2.16666667,60,355.3076698,7.66666667,3,0,0,123
777,0,3,0,1.88888889,46.11111111,272.9908157,17.75,0,1,0,83
778,2,3,0,1.88888889,46.11111111,272.9908157,17.75,0,1,0,103
779,13,4,1,2.4,52,466.9380849,19.6666666,1,1,1,365
780,16,4,0,2.125,55,385.0419466,13.6,0,0,0,452
781,16,4,0,2,30,539.6502357,22.5,3,1,0,152
782,13,5,0,3.5,45,172.1380479,19.6,0,0,0,411
783,12,11,0,2.21428571,42.85714286,138.550254,17.3333333,0,0,0,290
784,13,2,0,2.66666667,53.33333333,213.0559281,25,0,0,1,131
785,11,5,0,2.75,60,238.7710618,19.5,0,0,0,311
786,26,5,1,2.8,62,347.7174859,45,0,0,0,430
787,20,4,0,2.5,45,308.9452702,30.5,0,1,0,231
788,24,6,0,3.125,60,292.1485438,33.5,1,0,0,621
789,21,4,1,4.875,60,273.4004675,52.5,0,1,1,601
790,12,6,0,2,53.33333333,222.097246,13.75,0,1,0,329
791,20,4,0,3.75,60,333.715254,37.5,0,0,0,382
792,12,3,0,2.625,60,160.8531485,27,0,1,0,385
793,27,4,1,2.8,52,600.5141239,17,1,0,0,561
794,24,6,0,2.3,48,343.5579827,21,0,0,0,239
795,45,8,0,2.66666667,50,60.31154429,35.5,0,1,0,499
796,5,3,0,1.66666667,50,275.6656062,7.44444444,0,1,0,175
797,16,3,1,2.8,52,600.5141239,10.4285714,1,0,0,379
798,9,2,0,2.66666667,40,123.6049587,19,2,1,0,118
799,0,4,1,2,55,267.8105593,26,2,0,0,21
800,20,5,0,3.75,52.5,257.6030768,37.5,1,1,1,376
801,31,10,2,5.5,60,231.7372959,60,0,1,0,540
802,34,4,0,3,60,487.1327756,34,1,0,0,655
803,21,4,0,3.5,52.5,191.9334809,27,2,1,0,644
804,7,2,0,3.11111111,50,94.29777178,27.5,0,1,0,263
805,4,5,0,1.16666667,43.33333333,319.522592,6.22222222,0,1,0,240
806,25,5,2,3.375,60,354.2273683,45,1,0,0,544
807,10,3,0,2.5,45,448.5675003,27.5,2,1,0,151
808,0,0,0,2.42857143,64.28571429,578.417654,40,0,0,0,2
809,21,5,0,2.875,60,302.9043878,17.6666666,1,0,1,372
